id,Location,row,col,Date,Lat,Lon,SounderFt,Tdeploy,Tretrieve,Deployer,Lat.dec,Lon.dec
1,Transect7,3,2,7/16/22,42 59 49.6,70 37 15.8,59.6,13:36:00,13:38:15,Petra,42.99711111,-70.62105556
2,Transect7a,2,2,7/16/22,42 59 49.8,70 37 17.5,55.2,13:47:30,13:49:15,Petra,42.99716667,-70.62152778
3,Transect9,1,2,7/16/22,42 59 59.0,70 36 97.2,56.7,13:57:50,13:59:05,Aly,42.99972222,-70.627
4,DevilsDanceFloor,1,3,7/16/22,42 59 62.3,70 36 76.5,44.5,14:05:05,14:05:55,Sarah,43.00063889,-70.62125
5,Transect14,2,4,7/16/22,42 59 57.9,70 36 67.4,64,14:12:05,14:13:15,Petra,42.99941667,-70.61872222
6,NorwegianCove,4,4,7/16/22,42 59 43.2,70 36 59.9,69.7,14:18:55,14:19:55,Aly,42.99533333,-70.61663889
7,Transect20,5,5,7/16/22,42 59 38.9,70 36 44.4,72,14:25:55,14:27:00,Sarah,42.99413889,-70.61233333
8,DevilsGlen,6,5,7/16/22,42 59 28.5,70 36 52.8,48.8,14:31:35,14:32:25,Petra,42.99125,-70.61466667
9,HalftideLedges,8,5,7/16/22,42 59 09.8,70 36 51.4,64,14:37:25,14:38:30,Aly,42.98605556,-70.61427778
10,Transect25,8,4,7/16/22,42 59 02.5,70 36 73.9,50,14:44:15,14:45:10,Sarah,42.98402778,-70.62052778
11,SmithsCove,8,2,7/16/22,42 59 05.4,70 37 09.1,30.5,14:50:00,14:50:45,Petra,42.98483333,-70.61919444
12,Transect28,7,1,7/16/22,42 59 18.4,70 37 18.8,39.4,14:54:05,14:55:00,Aly,42.98844444,-70.62188889
13,BabbsCove,6,1,7/16/22,42 59 02.5,70 36 73.9,46,14:59:15,15:00:05,Sarah,42.98402778,-70.62052778
