Location,Date,Lat,Lon,SounderFt,Tdeploy,Tretrieve,Tsurface,Deployer
Transect7,2022-07-16,42.59496,70.37158,59.6,133600,133815,133850,Petra
Transect7,2022-07-16,42.59498,70.37175,55.2,134730,134915,135055,Petra
Transect9,2022-07-16,42.5959,70.36972,56.7,135750,135905,135950,Aly
DevilsDanceFloor,2022-07-16,42.59623,70.36765,44.5,140505,140555,140635,Sarah
Transect14,2022-07-16,42.59579,70.36674,64,141205,141315,141545,Petra
NorwegianCove,2022-07-16,42.59432,70.36599,69.7,141855,141955,142045,Aly
Transect20,2022-07-16,42.59389,70.36444,72,142555,142700,142805,Sarah
DevilsGlen,2022-07-16,42.59285,70.36528,48.8,143135,143225,143300,Petra
HalftideLedges,2022-07-16,42.59098,70.36514,64,143725,143830,143925,Aly
Transect25,2022-07-16,42.59025,70.36739,50,144415,144510,144550,Sarah
SmithsCove,2022-07-16,42.59054,70.37091,30.5,145000,145045,145110,Petra
Transect28,2022-07-16,42.59184,70.37188,39.4,145405,145500,145530,Aly
BabbsCove,2022-07-16,42.59025,70.36739,46,145915,150005,150045,Sarah
